views,mature,life_time,created_at,updated_at,numeric_id,dead_account,language,affiliate
5639,0,852,5/30/2016,9/29/2018,72,0,EN,0
44529,1,1896,7/29/2013,10/7/2018,73,0,FR,1
1042,0,1807,10/30/2013,10/11/2018,74,0,EN,1
784,0,1742,12/24/2013,10/1/2018,75,0,EN,0
1958,0,456,7/10/2017,10/9/2018,76,0,EN,1
3409,1,1609,5/17/2014,10/12/2018,77,0,EN,1
49854,0,1461,10/12/2014,10/12/2018,78,0,RU,1
33356,0,1984,4/30/2013,10/5/2018,79,0,IT,0
7738,0,1794,11/13/2013,10/12/2018,80,0,EN,0
77565,0,2456,1/16/2012,10/7/2018,81,0,EN,1
255,1,1867,7/2/2013,8/12/2018,82,0,EN,0
94298,1,1319,3/2/2015,10/11/2018,83,0,DE,0
2639,0,1018,12/29/2015,10/12/2018,84,0,EN,1
1974604,1,631,1/19/2017,10/12/2018,85,0,EN,0
4740,1,1155,8/9/2015,10/7/2018,86,0,EN,1
9529,1,369,10/8/2017,10/12/2018,87,0,EN,1
7149,1,2170,10/27/2012,10/6/2018,88,0,EN,0
1442,1,397,9/6/2017,10/8/2018,89,0,EN,0
18460,0,2070,2/10/2013,10/12/2018,90,0,EN,1
3477,0,1157,8/9/2015,10/9/2018,91,0,EN,1
3955,1,1523,8/7/2014,10/8/2018,92,0,EN,0
2003,0,374,10/3/2017,10/12/2018,93,0,EN,0
922,0,899,4/25/2016,10/11/2018,94,0,EN,1
1108,1,1163,8/5/2015,10/11/2018,95,0,EN,0
257,0,775,8/19/2016,10/3/2018,96,0,EN,0
47789,1,3234,12/4/2009,10/12/2018,97,0,EN,1
2154,1,2075,2/1/2013,10/8/2018,98,0,EN,0
2060,1,3272,10/4/2009,9/19/2018,99,0,EN,0
2073,1,597,2/17/2017,10/7/2018,100,0,EN,1
164810,0,768,9/4/2016,10/12/2018,101,0,ES,0
9429,0,1249,5/12/2015,10/12/2018,102,0,EN,0
5444,0,755,9/13/2016,10/8/2018,103,0,EN,1
10540,1,1973,4/25/2013,9/19/2018,104,0,EN,1
103322,0,2489,9/27/2011,7/21/2018,105,0,ES,0
8436,0,2021,3/27/2013,10/8/2018,106,0,EN,1
2203,1,2052,2/23/2013,10/7/2018,107,0,OTHER,1
1946,0,1399,12/10/2014,10/9/2018,108,0,TR,0
10529,1,673,12/1/2016,10/5/2018,109,0,EN,1
2112,1,1824,9/6/2013,9/4/2018,110,0,EN,0
119221,0,1998,4/23/2013,10/12/2018,111,0,EN,0
3945,1,519,4/9/2017,9/10/2018,112,0,EN,0
295,1,1697,2/18/2014,10/12/2018,113,0,EN,0
8766,1,1595,5/31/2014,10/12/2018,114,0,EN,1
4093,0,808,7/26/2016,10/12/2018,115,0,EN,1
13003233,0,3039,6/17/2010,10/12/2018,116,0,EN,0
1971793,0,1477,9/26/2014,10/12/2018,117,0,EN,0
120872,1,883,5/12/2016,10/12/2018,118,0,EN,0
4553,1,450,7/19/2017,10/12/2018,119,0,EN,1
140,0,911,3/25/2016,9/22/2018,120,0,EN,0
411,0,1816,10/16/2013,10/6/2018,121,0,EN,0
306,1,537,3/25/2017,9/13/2018,122,0,EN,0
2307,1,2644,7/16/2011,10/11/2018,123,0,EN,0
5581,1,2129,12/13/2012,10/12/2018,124,0,EN,0
124,1,1171,7/20/2015,10/3/2018,125,0,EN,0
60918,0,1729,1/17/2014,10/12/2018,126,0,PL,1
147,0,1005,1/10/2016,10/11/2018,127,0,EN,0
162,0,1564,4/28/2014,8/9/2018,128,0,EN,0
6456,1,2322,6/3/2012,10/12/2018,129,0,ZH,1
10759,0,948,3/6/2016,10/10/2018,130,0,EN,1
2323,1,2137,12/5/2012,10/12/2018,131,0,DE,0
34130,1,1936,6/23/2013,10/11/2018,132,0,EN,1
793,1,1347,2/3/2015,10/12/2018,133,0,EN,0
2758,1,1233,5/28/2015,10/12/2018,134,0,EN,1
16797,0,174,4/21/2018,10/12/2018,135,0,EN,1
2479,0,2769,12/18/2010,7/18/2018,136,0,EN,0
170155,0,1812,10/26/2013,10/12/2018,137,0,EN,1
507,1,1287,2/12/2015,8/22/2018,138,0,EN,0
41660,1,1868,7/3/2013,8/14/2018,139,0,FR,0
807,1,1411,11/20/2014,10/1/2018,140,0,DE,1
4374,0,1748,12/27/2013,10/10/2018,141,0,EN,0
13180,1,1520,8/14/2014,10/12/2018,142,0,EN,1
794,1,1051,10/25/2015,9/10/2018,143,0,EN,0
11194,0,1633,4/19/2014,10/8/2018,144,0,PT,0
4279,1,1264,4/27/2015,10/12/2018,145,0,EN,1
3453,1,1627,4/16/2014,9/29/2018,146,0,EN,0
3482,1,708,11/3/2016,10/12/2018,147,0,EN,1
2102612,1,1372,1/9/2015,10/12/2018,148,0,PL,0
5951,1,2588,9/11/2011,10/12/2018,149,0,EN,1
2178,1,2365,4/10/2012,10/1/2018,150,0,EN,0
204,1,846,6/15/2016,10/9/2018,151,0,EN,0
10509729,0,2521,11/17/2011,10/12/2018,152,0,EN,0
630,0,1082,8/30/2015,8/16/2018,153,0,EN,0
43650,0,2145,11/27/2012,10/12/2018,154,0,EN,1
14557,1,2078,1/14/2013,9/23/2018,155,0,EN,1
66068,0,2143,11/26/2012,10/9/2018,156,0,ZH,1
911,0,1998,4/16/2013,10/5/2018,157,0,EN,0
24020,1,1322,2/27/2015,10/11/2018,158,0,EN,1
1357,1,1361,1/6/2015,9/28/2018,159,0,EN,1
1064,1,936,3/16/2016,10/8/2018,160,0,EN,1
238,0,2681,6/7/2011,10/9/2018,161,0,EN,0
1341,0,1879,6/11/2013,8/3/2018,162,0,EN,0
3968,0,1646,4/6/2014,10/8/2018,163,0,EN,1
22228,0,543,4/16/2017,10/11/2018,164,0,KO,1
13697,0,3226,11/29/2009,9/29/2018,165,0,EN,1
9116,0,2092,12/11/2012,9/3/2018,166,0,FR,0
26427,0,939,3/17/2016,10/12/2018,167,0,KO,0
1921,0,1070,11/2/2015,10/7/2018,168,0,EN,0
6051,0,1910,7/20/2013,10/12/2018,169,0,EN,0
313084,0,973,2/12/2016,10/12/2018,170,0,SV,1
6144,0,1448,10/25/2014,10/12/2018,171,0,ES,0
394,1,635,12/22/2016,9/18/2018,172,0,EN,0
578,0,2005,4/4/2013,9/30/2018,173,0,EN,0
7032,0,1781,11/6/2013,9/22/2018,174,0,EN,0
7355,1,3468,4/5/2009,10/3/2018,175,0,EN,1
832,0,2003,4/17/2013,10/11/2018,176,0,EN,0
472,0,245,2/8/2018,10/11/2018,177,0,EN,0
11603,0,2138,12/4/2012,10/12/2018,178,0,EN,0
976,0,1939,6/8/2013,9/29/2018,179,0,EN,0
5373,0,2457,1/9/2012,10/1/2018,180,0,EN,0
1518,1,2057,2/15/2013,10/4/2018,181,0,EN,0
362,0,1242,5/15/2015,10/8/2018,182,0,EN,0
934086,1,1412,11/30/2014,10/12/2018,183,0,EN,0
785333,1,3631,11/2/2008,10/12/2018,184,0,EN,0
1448,1,402,9/4/2017,10/11/2018,185,0,EN,0
430,0,184,12/15/2017,6/17/2018,186,1,EN,0
27452,1,2011,4/10/2013,10/12/2018,187,0,FR,0
193768,0,721,10/21/2016,10/12/2018,188,0,FR,0
6525,0,1647,4/9/2014,10/12/2018,189,0,EN,0
2850,0,632,1/17/2017,10/11/2018,190,0,PT,0
27815,0,1137,8/30/2015,10/10/2018,191,0,DE,1
2179,1,1324,2/23/2015,10/9/2018,192,0,EN,1
11705,1,2401,3/16/2012,10/12/2018,193,0,EN,1
1326,1,1584,6/9/2014,10/10/2018,194,0,EN,1
960,0,1751,12/9/2013,9/25/2018,195,0,EN,0
19959321,0,1276,4/15/2015,10/12/2018,196,0,EN,0
27924,1,1867,9/1/2013,10/12/2018,197,0,EN,1
2356,1,187,4/8/2018,10/12/2018,198,0,DE,0
4597,1,1577,6/4/2014,9/28/2018,199,0,EN,0
14486,1,1896,8/3/2013,10/12/2018,200,0,ZH,0
1086,0,617,12/29/2016,9/7/2018,201,0,EN,1
5989,1,2236,8/28/2012,10/12/2018,202,0,EN,1
2863112,1,1057,11/20/2015,10/12/2018,203,0,EN,0
3929,1,1701,2/14/2014,10/12/2018,204,0,EN,0
3422,1,906,4/18/2016,10/11/2018,205,0,PT,1
3444,1,1834,9/25/2013,10/3/2018,206,0,EN,1
12276,0,2009,4/12/2013,10/12/2018,207,0,EN,1
6701,1,1783,11/24/2013,10/12/2018,208,0,EN,1
3101,0,1642,4/13/2014,10/11/2018,209,0,EN,1
8723,1,2196,10/1/2012,10/6/2018,210,0,DE,0
8052,0,1627,4/21/2014,10/4/2018,211,0,NL,0
5189,1,1593,6/1/2014,10/11/2018,212,0,EN,1
240,0,433,7/5/2017,9/11/2018,213,0,TH,0
88,0,1665,3/22/2014,10/12/2018,214,0,EN,0
5735,1,1574,6/16/2014,10/7/2018,215,0,RU,0
382,0,706,10/18/2016,9/24/2018,216,0,EN,0
7970,0,1895,8/4/2013,10/12/2018,217,0,JA,1
2871,0,1722,12/9/2013,8/27/2018,218,0,EN,0
1890,1,455,7/8/2017,10/6/2018,219,0,EN,1
251,1,904,4/8/2016,9/29/2018,220,0,EN,0
1081,1,1931,6/23/2013,10/6/2018,221,0,EN,0
1196,0,594,2/25/2017,10/12/2018,222,0,EN,0
26824,1,726,10/11/2016,10/7/2018,223,0,EN,0
15096,1,1215,5/29/2015,9/25/2018,224,0,EN,0
3521,1,1152,8/15/2015,10/10/2018,225,0,EN,1
266842,1,2720,4/29/2011,10/9/2018,226,0,EN,0
2435,0,1178,7/21/2015,10/11/2018,227,0,EN,1
1138,0,607,2/12/2017,10/12/2018,228,0,EN,1
33004,1,1685,3/2/2014,10/12/2018,229,0,EN,1
68338,0,781,8/21/2016,10/11/2018,230,0,KO,0
1907,0,1020,12/25/2015,10/10/2018,231,0,DE,0
1635,0,2213,9/15/2012,10/7/2018,232,0,DE,0
393,1,2404,2/14/2012,9/14/2018,233,0,EN,0
3433,1,1864,8/31/2013,10/8/2018,234,0,EN,1
1973,0,1798,10/23/2013,9/25/2018,235,0,EN,0
291260,1,1258,5/3/2015,10/12/2018,236,0,EN,0
111877,0,2138,11/26/2012,10/4/2018,237,0,EN,0
4482,1,1470,10/2/2014,10/11/2018,238,0,EN,1
702,0,1912,7/8/2013,10/2/2018,239,0,EN,0
3729,1,1435,11/7/2014,10/12/2018,240,0,EN,1
203364,1,502,5/28/2017,10/12/2018,241,0,EN,1
59022,0,2316,6/7/2012,10/10/2018,242,0,EN,1
1058,1,812,7/12/2016,10/2/2018,243,0,EN,0
16344,1,1367,1/14/2015,10/12/2018,244,0,DE,1
791,0,1198,7/1/2015,10/11/2018,245,0,EN,0
1034,1,938,3/18/2016,10/12/2018,246,0,EN,0
2822,0,1626,4/28/2014,10/10/2018,247,0,EN,1
364,1,993,1/19/2016,10/8/2018,248,0,EN,0
24703,1,1377,1/4/2015,10/12/2018,249,0,DE,1
37236,1,1550,7/11/2014,10/8/2018,250,0,RU,1
2013,1,684,11/27/2016,10/12/2018,251,0,EN,0
25443,0,1367,1/13/2015,10/11/2018,252,0,CS,1
2333,0,1150,8/10/2015,10/3/2018,253,0,EN,1
3994,1,931,3/24/2016,10/11/2018,254,0,EN,1
51209,1,539,4/20/2017,10/11/2018,255,0,EN,1
46796,0,1544,7/21/2014,10/12/2018,256,0,FR,1
180,0,1324,10/31/2014,6/16/2018,257,1,EN,0
1002,1,1769,12/7/2013,10/11/2018,258,0,EN,0
17627,0,2091,1/20/2013,10/12/2018,259,0,EN,1
8082,0,2151,7/9/2012,5/30/2018,260,1,EN,0
6370,0,1205,6/24/2015,10/11/2018,261,0,FR,0
2798,0,2199,9/24/2012,10/2/2018,262,0,EN,0
1520,0,2725,4/22/2011,10/7/2018,263,0,EN,0
565,0,1780,11/13/2013,9/28/2018,264,0,EN,0
4953,0,1895,7/31/2013,10/8/2018,265,0,ES,0
2841,0,2229,9/4/2012,10/12/2018,266,0,FR,0
44091,1,2503,12/4/2011,10/11/2018,267,0,EN,1
1596,0,1906,7/18/2013,10/6/2018,268,0,RU,0
63318,1,784,8/19/2016,10/12/2018,269,0,EN,1
4103,0,3070,5/17/2010,10/12/2018,270,0,EN,1
4854942,0,1860,9/8/2013,10/12/2018,271,0,KO,0
5298,0,371,10/2/2017,10/8/2018,272,0,FR,0
583,1,1333,2/16/2015,10/11/2018,273,0,EN,0
297174,0,975,2/10/2016,10/12/2018,274,0,JA,0
7017,1,1943,6/17/2013,10/12/2018,275,0,RU,1
5191,0,1388,12/21/2014,10/9/2018,276,0,EN,1
3340,1,1779,11/28/2013,10/12/2018,277,0,EN,1
1985,1,659,12/12/2016,10/2/2018,278,0,DE,1
15096,0,1983,5/4/2013,10/8/2018,279,0,EN,1
42501,0,1149,8/20/2015,10/12/2018,280,0,TH,0
10058,0,2441,2/2/2012,10/9/2018,281,0,EN,0
17344,0,1024,12/23/2015,10/12/2018,282,0,DE,1
47164,1,1337,2/13/2015,10/12/2018,283,0,DE,1
10692,0,2735,4/14/2011,10/9/2018,284,0,EN,0
2650,0,1049,11/28/2015,10/12/2018,285,0,EN,1
2145045,1,1249,5/12/2015,10/12/2018,286,0,EN,0
1261,0,1760,12/16/2013,10/11/2018,287,0,EN,0
5421,0,2204,9/24/2012,10/7/2018,288,0,EN,1
7186,0,2012,3/16/2013,9/18/2018,289,0,DE,1
16086,0,759,9/13/2016,10/12/2018,290,0,EN,1
3956,0,1354,1/27/2015,10/12/2018,291,0,EN,1
151991,1,1944,6/16/2013,10/12/2018,292,0,DA,1
22458,0,1546,7/19/2014,10/12/2018,293,0,EN,0
713,0,4149,5/22/2007,9/30/2018,294,0,EN,0
16322,1,1710,2/5/2014,10/12/2018,295,0,EN,1
35482,0,2547,10/21/2011,10/11/2018,296,0,SV,0
616,1,1536,7/29/2014,10/12/2018,297,0,EN,0
4654,1,1352,1/29/2015,10/12/2018,298,0,DE,0
3225,1,2443,2/3/2012,10/12/2018,299,0,EN,1
3396,1,1751,12/22/2013,10/8/2018,300,0,EN,1
5594,0,1454,10/19/2014,10/12/2018,301,0,FR,1
34,1,1659,2/21/2014,9/7/2018,302,0,EN,0
8483,1,1491,9/8/2014,10/8/2018,303,0,NL,1
1716,0,2000,4/15/2013,10/6/2018,304,0,EN,0
14531,1,579,3/11/2017,10/11/2018,305,0,EN,1
32682,1,1804,11/3/2013,10/12/2018,306,0,EN,1
778,0,1294,3/28/2015,10/12/2018,307,0,EN,0
2604,0,2285,7/7/2012,10/9/2018,308,0,EN,1
3630,1,1702,2/4/2014,10/3/2018,309,0,EN,0
83,0,646,11/15/2016,8/23/2018,310,0,EN,0
189645,1,1505,8/29/2014,10/12/2018,311,0,EN,1
67320,0,1720,1/26/2014,10/12/2018,312,0,EN,0
1783,0,443,7/26/2017,10/12/2018,313,0,EN,1
32167,0,2377,4/9/2012,10/12/2018,314,0,ZH,0
158,0,1388,12/21/2014,10/9/2018,315,0,EN,0
1212,0,2370,4/16/2012,10/12/2018,316,0,EN,0
4144,0,629,1/4/2017,9/25/2018,317,0,RU,1
4070,0,926,1/28/2016,8/11/2018,318,0,EN,0
354,1,2740,4/10/2011,10/10/2018,319,0,EN,0
12262,1,828,7/6/2016,10/12/2018,320,0,ES,1
677,0,504,5/24/2017,10/10/2018,321,0,EN,0
9458,0,1236,5/21/2015,10/8/2018,322,0,FR,1
2379,0,1788,11/15/2013,10/8/2018,323,0,EN,0
4899,1,1009,1/5/2016,10/10/2018,324,0,EN,1
333150,0,2269,7/23/2012,10/9/2018,325,0,EN,0
3845,1,1135,8/26/2015,10/4/2018,326,0,EN,0
1653,0,879,5/10/2016,10/6/2018,327,0,EN,1
22942,1,1759,11/29/2013,9/23/2018,328,0,EN,1
6555,0,2321,6/3/2012,10/11/2018,329,0,EN,1
4747,1,1908,7/22/2013,10/12/2018,330,0,EN,1
7571,0,1060,11/9/2015,10/4/2018,331,0,ES,1
989,1,2091,12/26/2012,9/17/2018,332,0,OTHER,0
35312,0,1917,7/13/2013,10/12/2018,333,0,EN,1
10,0,1119,7/21/2015,8/13/2018,334,0,EN,0
4937,0,1317,3/5/2015,10/12/2018,335,0,ES,1
3963,1,1097,10/11/2015,10/12/2018,336,0,EN,0
413418,0,2475,1/2/2012,10/12/2018,337,0,RU,0
1092960,1,1982,5/9/2013,10/12/2018,338,0,EN,0
7464,1,2084,1/26/2013,10/11/2018,339,0,DA,1
1026,0,1175,7/24/2015,10/11/2018,340,0,EN,0
426,1,1212,3/15/2015,7/9/2018,341,1,EN,0
4230,0,937,3/16/2016,10/9/2018,342,0,RU,0
3522,1,1964,5/15/2013,9/30/2018,343,0,EN,0
2802,0,1756,12/21/2013,10/12/2018,344,0,ES,0
5294,1,993,1/22/2016,10/11/2018,345,0,EN,1
19598,0,707,11/4/2016,10/12/2018,346,0,KO,1
2833,0,1720,1/25/2014,10/11/2018,347,0,EN,1
2789,0,1348,1/29/2015,10/8/2018,348,0,EN,1
263,0,1698,1/26/2014,9/20/2018,349,0,EN,0
125,0,1435,10/31/2014,10/5/2018,350,0,EN,0
180586,1,800,8/3/2016,10/12/2018,351,0,FR,1
4010,1,1117,9/21/2015,10/12/2018,352,0,EN,1
1942,1,2512,11/20/2011,10/6/2018,353,0,EN,0
3756,1,243,2/11/2018,10/12/2018,354,0,EN,1
6008,1,1103,10/4/2015,10/11/2018,355,0,EN,1
983,0,945,3/10/2016,10/11/2018,356,0,EN,0
15620,0,2647,4/26/2011,7/25/2018,357,0,EN,0
376,1,1880,8/10/2013,10/3/2018,358,0,EN,0
5050,0,1282,3/25/2015,9/27/2018,359,0,EN,1
4776,0,1707,2/8/2014,10/12/2018,360,0,EN,1
3272,1,1886,8/13/2013,10/12/2018,361,0,EN,0
4074,1,975,2/9/2016,10/11/2018,362,0,EN,1
3826,0,1433,11/9/2014,10/12/2018,363,0,EN,1
503,0,1269,3/27/2015,9/16/2018,364,0,EN,0
25219,1,2201,10/2/2012,10/12/2018,365,0,EN,1
857,0,1730,1/4/2014,9/30/2018,366,0,EN,0
1133,0,2268,7/6/2012,9/21/2018,367,0,EN,0
801,1,1400,12/5/2014,10/5/2018,368,0,EN,1
526,1,768,9/2/2016,10/10/2018,369,0,EN,0
7834,1,2078,2/2/2013,10/12/2018,370,0,EN,1
3731,1,1705,2/6/2014,10/8/2018,371,0,EN,1
4156,1,2271,7/21/2012,10/9/2018,372,0,EN,0
2164135,0,2028,3/24/2013,10/12/2018,373,0,EN,0
348,1,1935,6/9/2013,9/26/2018,374,0,EN,0
6877,1,1823,10/13/2013,10/10/2018,375,0,EN,1
1527,0,2816,12/23/2010,9/8/2018,376,0,EN,0
1252,1,1620,5/6/2014,10/12/2018,377,0,EN,0
1060,1,1931,6/25/2013,10/8/2018,378,0,EN,0
165169,0,1590,6/4/2014,10/11/2018,379,0,FR,1
18370,1,2179,9/24/2012,9/12/2018,380,0,EN,1
2213,1,644,12/28/2016,10/3/2018,381,0,EN,1
170,1,585,12/1/2016,7/9/2018,382,1,EN,0
6931,0,1615,4/30/2014,10/1/2018,383,0,EN,0
29549,0,1970,5/5/2013,9/26/2018,384,0,RU,0
52932,1,2171,10/28/2012,10/8/2018,385,0,EN,0
10676,1,2949,9/14/2010,10/11/2018,386,0,EN,1
15722,0,1811,10/27/2013,10/12/2018,387,0,EN,1
24715,1,1356,1/25/2015,10/12/2018,388,0,EN,1
3283,0,1532,8/2/2014,10/12/2018,389,0,DE,0
16054,1,1573,6/20/2014,10/10/2018,390,0,EN,1
377,0,1011,1/2/2016,10/9/2018,391,0,EN,0
3224,0,2241,8/13/2012,10/2/2018,392,0,EN,0
3950,0,2219,9/14/2012,10/12/2018,393,0,EN,1
16990,1,1691,2/7/2014,9/25/2018,394,0,EN,1
2194776,0,3190,1/17/2010,10/12/2018,395,0,EN,0
1896,0,1694,2/21/2014,10/12/2018,396,0,EN,1
335,1,650,12/30/2016,10/11/2018,397,0,EN,0
1039,1,971,1/25/2016,9/22/2018,398,0,DE,0
89458,1,2142,11/30/2012,10/12/2018,399,0,EN,0
18620,0,1561,7/4/2014,10/12/2018,400,0,EN,1
3206,1,1894,7/6/2013,9/12/2018,401,0,EN,0
3044020,0,2111,12/31/2012,10/12/2018,402,0,DE,0
22747,0,1544,7/21/2014,10/12/2018,403,0,RU,1
221388,0,2392,3/12/2012,9/29/2018,404,0,HU,0
117104,0,2154,11/18/2012,10/12/2018,405,0,FR,1
2078,0,785,8/18/2016,10/12/2018,406,0,EN,1
20809,1,2060,2/20/2013,10/12/2018,407,0,EN,0
64,0,1141,8/12/2015,9/26/2018,408,0,EN,0
199491,1,978,2/7/2016,10/12/2018,409,0,ES,0
1410,0,1676,2/2/2014,9/5/2018,410,0,DE,0
6260,0,191,4/3/2018,10/11/2018,411,0,EN,1
16465,1,1759,12/18/2013,10/12/2018,412,0,ZH,1
396,1,1172,7/14/2015,9/28/2018,413,0,EN,0
51899,1,2708,5/14/2011,10/12/2018,414,0,EN,1
706828,0,2209,9/24/2012,10/12/2018,415,0,TR,1
82078,1,2293,7/2/2012,10/12/2018,416,0,EN,1
41446,0,1540,7/25/2014,10/12/2018,417,0,EN,0
796,0,2566,7/21/2011,7/30/2018,418,0,EN,0
1496,1,871,5/24/2016,10/12/2018,419,0,EN,1
844,0,1661,3/16/2014,10/2/2018,420,0,ES,0
10327,0,886,5/8/2016,10/11/2018,421,0,EN,1
2967,1,1599,5/24/2014,10/9/2018,422,0,EN,1
9578,0,1523,8/7/2014,10/8/2018,423,0,EN,0
1104,0,1596,4/12/2014,8/25/2018,424,0,EN,0
2994,0,1122,9/8/2015,10/4/2018,425,0,EN,0
865,0,1639,4/13/2014,10/8/2018,426,0,FR,0
2375,1,1004,1/10/2016,10/10/2018,427,0,EN,1
28865,0,2323,5/29/2012,10/8/2018,428,0,FR,0
3206,1,1317,3/5/2015,10/12/2018,429,0,EN,1
206,0,204,2/26/2018,9/18/2018,430,0,EN,0
512,0,1637,3/19/2014,9/11/2018,431,0,EN,0
2790,1,283,1/2/2018,10/12/2018,432,0,EN,1
1489,1,1633,4/16/2014,10/5/2018,433,0,EN,0
1261,0,2418,2/15/2012,9/29/2018,434,0,EN,0
6376,1,1368,1/13/2015,10/12/2018,435,0,EN,1
771,1,2494,8/31/2011,6/29/2018,436,1,EN,0
7352,1,959,2/24/2016,10/10/2018,437,0,RU,1
1992,0,3125,12/18/2009,7/9/2018,438,1,EN,0
7284,1,2593,9/6/2011,10/12/2018,439,0,EN,1
1408,1,2036,3/16/2013,10/12/2018,440,0,EN,1
691,1,1760,12/13/2013,10/8/2018,441,0,EN,0
6917,0,2003,12/4/2012,5/30/2018,442,1,EN,0
1113,0,1918,7/4/2013,10/4/2018,443,0,EN,0
1449,0,925,3/31/2016,10/12/2018,444,0,EN,1
281370,0,1047,11/30/2015,10/12/2018,445,0,RU,0
7252,0,1980,5/4/2013,10/5/2018,446,0,EN,0
46065,1,2260,7/16/2012,9/23/2018,447,0,EN,0
2552,1,682,11/29/2016,10/12/2018,448,0,EN,1
8074,1,1051,11/10/2015,9/26/2018,449,0,EN,0
115054,1,3039,6/17/2010,10/12/2018,450,0,EN,1
6586,1,1353,1/17/2015,10/1/2018,451,0,EN,0
5225,0,1233,5/28/2015,10/12/2018,452,0,EN,1
1122,1,1528,8/6/2014,10/12/2018,453,0,EN,1
